nCount_RNA	merged.clusters	UMAP_1	UMAP_2	Col2a1	eGFP-SV40pA
3580	Mesenchyme	0.766281980792585	2.83887372660903	2	1
1989	Mesenchyme	-2.29296712227672	3.13171444583205	1	0
1088	Mesenchyme	1.35511525324971	4.06244192767409	5	1
11340	Mesenchyme	-0.725744884689746	-3.39233173680039	0	0
10284	Mesenchyme	-1.67660407372325	5.05982838320998	7	0
3092	Mesenchyme	-4.93466309853405	0.848782998802939	0	0
2941	Mesenchyme	-0.908124607284961	3.87040720629958	6	1
5159	Mesenchyme	-3.75512031861156	-4.04111661267014	0	0
1726	Mesenchyme	-2.82913331337779	1.03674469638137	0	0
9154	Mesenchyme	-0.960424941261706	6.59746704745559	2	0
11231	Mesenchyme	-1.05961374588817	5.81190596270827	2	0
6424	Muscle	7.69850130728871	-6.56031741451951	0	0
8690	Mesenchyme	-2.18238286324352	-3.22422541928025	1	0
5380	Epithelium	10.0373832767406	4.34795246768264	0	0
6262	Mesenchyme	-3.46104125328868	-1.25566359114381	0	0
3363	Mesenchyme	-1.96743158646434	-3.80703749012681	0	0
1982	Mesenchyme	-1.88893775292247	2.09610400843886	0	0
6027	Mesenchyme	-1.14835802861064	-1.8862235720131	0	0
1211	Mesenchyme	-1.32547275372356	3.87263403582839	3	0
1297	Mesenchyme	-3.37643627472728	-4.07242621731492	0	0
7307	Mesenchyme	0.738108712951245	5.07016812014846	55	5
2094	Mesenchyme	-6.75438432045787	-2.61712993931504	0	0
5293	Mesenchyme	-5.53388051339	-0.950895893094262	0	0
6542	Neuronal cells	4.37559290579945	-9.39216222119065	0	0
2354	Mesenchyme	-3.43800906487316	-3.88976206135484	0	0
3522	Mesenchyme	-4.09740809746593	2.89075146365432	0	0
3446	Epithelium	9.73929329566151	3.79065237689284	0	0
2806	Mesenchyme	-5.21241835900157	0.991032225373069	0	0
1169	Mesenchyme	1.52697964362294	4.4681864802864	9	0
3361	Mesenchyme	-4.63333968468517	-3.29532064747544	0	0
6017	Mesenchyme	-0.987387936790881	0.627522212746421	1	0
1325	Mesenchyme	-4.67167929955333	-0.266025664922914	0	0
4902	Mesenchyme	-2.27302603073925	2.07323275256423	0	0
4666	Mesenchyme	-5.73777703591198	-2.75594963383408	0	0
4778	Mesenchyme	-3.8039319927296	1.0619981114891	0	0
3295	Mesenchyme	-3.63052205391735	1.18063150096206	0	0
9036	Mesenchyme	-0.408474546154437	-0.615214454648217	9	0
1422	Mesenchyme	-0.953439872940478	-3.60063876461717	0	0
1810	Mesenchyme	-5.08975056954235	0.270006520035544	0	0
6220	Mesenchyme	-1.62290696450084	1.14497683692245	0	0
4540	Mesenchyme	-6.47723225899547	-2.60109724354478	0	0
